Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants,Core
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/13,1.2613163612277276,1.2419183258698467,1.2739982341881841,0.019176271794674755,0.00963698414354896,0.025147296815845703,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,13
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/13,3.159110615811793,3.0832249189988943,3.186566399125392,0.05187193733385057,0.00063021145213258,0.06340641554767289,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,13
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2152/Compression/3.38131445426035e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64/Core/13,8.192339496980821,8.134987786004785,8.214265055855321,0.039197696613120586,0.004793963824217068,0.05063490927330222,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2152,0.0338131445426035,2814,510,2304,64,13
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1881/Compression/1.7402113646176727e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128/Core/13,17.163360356395668,17.125826078623504,17.224928866749906,0.058838340237142954,0.00928827675437522,0.07573733043043712,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,1881,0.017402113646176727,2929,354,2575,128,13
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1562/Compression/8.931392725462844e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256/Core/13,35.34345115399932,35.28230461637759,35.45129822837165,0.10298691430067547,0.028196449423075726,0.1360467192801133,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1562,0.008931392725462844,3186,292,2894,256,13
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1498/Compression/4.533901687595635e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512/Core/13,72.21755158806293,72.00223712862862,72.34054125837429,0.2254734914173982,0.1729540293368831,0.2604266405021602,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1498,0.004533901687595635,3213,255,2958,512,13
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1441/Compression/2.2627576375406533e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024/Core/13,146.05178852735722,145.82760844275253,146.2648628154384,0.2524209487483483,0.21140985228774783,0.26491785926878436,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1441,0.0022627576375406533,3250,235,3015,1024,13
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/14,0.11179364753836471,0.03683079676605605,0.23024313857874534,0.1214054947063005,0.04264209962595614,0.16376133429854894,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,14
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/14,0.6393632915633134,0.6345660971237521,0.6475048250622422,0.007852829736915059,0.0008924507209490508,0.009960237411011414,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,14
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/14,1.184189945101328,1.1598252696221607,1.198111688413822,0.02368195488856231,0.006447230138020153,0.0321508889962293,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,14
